"POPCTRRAPuid","POPCTRRAPdguid","POPCTRRAname","POPCTRRAtype","POPCTRRAclass","POPCTRRApop_2021","POPCTRRAtdwell_2021","POPCTRRAurdwell_2021","POPCTRRApop_2016","POPCTRRApop_2016a","POPCTRRAtdwell_2016a","POPCTRRAurdwell_2016a","POPCTRRAarea","POPCTRRAadj_2016","POPCTRRAir_2016","POPCTRRAir_2021","PRuid","XPRuid","CMAuid"
"240009",,"Alma","1","2",20274.00,9987.00,9533.00,21406.00,21490.00,10181.00,9789.00,"15.9366","1","0","0","24",,"410"
"240015",,"Amos","1","2",9281.00,4794.00,4542.00,10005.00,10005.00,4787.00,4572.00,"8.4278","0","0","0","24",,"481"
"240016",,"Amqui","4","2",4560.00,2329.00,2219.00,4511.00,4729.00,2314.00,2241.00,"6.5328","1","0","0","24",,
"240023",,"Asbestos","4","2",5623.00,2933.00,2805.00,5205.00,5388.00,2746.00,2595.00,"5.1715","1","0","0","24",,
"240036",,"Baie-Comeau","2","2",9100.00,4487.00,4221.00,9610.00,9610.00,4523.00,4286.00,"11.2833","0","0","0","24",,"406"
"240037",,"Baie-Saint-Paul","4","2",4308.00,2171.00,2068.00,4868.00,4868.00,2525.00,2301.00,"4.0281","0","0","0","24",,
"240041",,"Barraute","4","2",1090.00,542.00,523.00,1099.00,1099.00,515.00,506.00,"1.3234","0","0","0","24",,
"240047",,"Beauceville","4","2",3598.00,1743.00,1655.00,3769.00,3769.00,1784.00,1718.00,"6.0727","0","0","0","24",,
"240050",,"Beaupré","4","2",6342.00,3560.00,2923.00,5889.00,6053.00,3155.00,2661.00,"11.2097","1","0","0","24",,
"240054",,"Gentilly","2","2",1634.00,901.00,848.00,1673.00,1673.00,903.00,846.00,"1.6046","0","0","0","24",,"442"
"240056",,"Bedford","4","2",2548.00,1319.00,1228.00,2550.00,2555.00,1277.00,1206.00,"3.8592","1","0","0","24",,
"240063",,"Beloeil","6","3",52959.00,22212.00,21811.00,50845.00,51132.00,21043.00,20616.00,"26.4989","1","0","0","24",,"462"
"240067",,"Berthierville","4","2",4677.00,2307.00,2241.00,4715.00,4715.00,2319.00,2178.00,"5.1053","0","0","0","24",,
"240079",,"Saint-Martin","4","2",1672.00,784.00,731.00,1582.00,1592.00,754.00,719.00,"3.3684","1","0","0","24",,
"240081",,"Bonaventure","4","2",1447.00,741.00,717.00,1439.00,1439.00,692.00,664.00,"2.8488","0","0","0","24",,
"240111",,"Cabano","4","2",2419.00,1244.00,1150.00,2438.00,2456.00,1243.00,1115.00,"3.0157","1","0","0","24",,
"240129",,"Cap-aux-Meules","4","2",2516.00,1173.00,1130.00,2028.00,2569.00,1153.00,1095.00,"6.1687","1","0","0","24",,
"240149",,"Causapscal","4","2",1013.00,556.00,510.00,1041.00,1041.00,539.00,494.00,"1.7749","0","0","0","24",,
"240154",,"Chandler","4","2",2189.00,1136.00,1082.00,2285.00,2285.00,1124.00,1064.00,"1.9262","0","0","0","24",,
"240156",,"Chapais","4","2",1289.00,625.00,572.00,1318.00,1318.00,661.00,589.00,"1.0331","0","0","0","24",,
"240162",,"Château-Richer","2","2",2482.00,1123.00,1073.00,1503.00,2396.00,1031.00,991.00,"3.538","1","0","0","24",,"421"
"240175",,"Chibougamau","4","2",6491.00,3200.00,2895.00,6862.00,6862.00,3215.00,2994.00,"6.0037","0","0","0","24",,
"240176",,"Chicoutimi - Jonquière","1","4",103934.00,52088.00,49552.00,104222.00,104741.00,51177.00,48659.00,"94.5621","1","0","0","24",,"408"
"240186",,"Clermont","4","2",2693.00,1309.00,1258.00,2765.00,2765.00,1330.00,1258.00,"3.7232","0","0","0","24",,
"240189",,"Coaticook","4","2",6333.00,3093.00,2975.00,6524.00,6524.00,3042.00,2968.00,"8.695","0","0","0","24",,
"240201",,"Contrecoeur","4","2",7768.00,3446.00,3346.00,6236.00,6273.00,2895.00,2800.00,"6.2493","1","0","0","24",,
"240208",,"Cowansville","1","2",13334.00,6684.00,6427.00,11809.00,12028.00,5839.00,5573.00,"16.3549","1","0","0","24",,"437"
"240209",,"Crabtree","4","2",2802.00,1209.00,1172.00,3004.00,3025.00,1339.00,1308.00,"2.0199","1","0","0","24",,
"240220",,"Dégelis","4","2",1751.00,934.00,876.00,1798.00,1798.00,942.00,878.00,"2.1679","0","0","0","24",,
"240230",,"Disraeli","4","2",2228.00,1266.00,1175.00,2212.00,2212.00,1245.00,1150.00,"2.5929","0","0","0","24",,
"240231",,"Dolbeau","1","2",10849.00,5346.00,5017.00,11388.00,11494.00,5234.00,5072.00,"10.4881","1","0","0","24",,"411"
"240233",,"Donnacona","4","2",8952.00,4145.00,4015.00,8418.00,8564.00,3911.00,3817.00,"9.7827","1","0","0","24",,
"240240",,"Drummondville","1","3",72089.00,34938.00,33834.00,68601.00,68634.00,32574.00,31331.00,"52.3043","1","0","0","24",,"447"
"240250",,"East Angus","4","2",3678.00,1640.00,1578.00,3472.00,3502.00,1570.00,1528.00,"4.8953","1","0","0","24",,
"240251",,"East Broughton","4","2",1866.00,880.00,842.00,1832.00,1866.00,871.00,831.00,"1.5748","1","0","0","24",,
