"CMAPuid","CMAPdguid","CMAname","CMApart","CMApop_2021","CMAtdwell_2021","CMAurdwell_2021","CMApop_2016","CMApop_2016a","CMAtdwell_2016a","CMAurdwell_2016a","CMAarea","CMAadj_2016","CMAir_2016","CMAir_2021","PRuid","CMAcode","CMAtype","XPRuid"
"47735",,"North Battleford","0",19374,8674,7865,19623,20052,8695,8087,"1118.5439","1","0","0","47","735","D",
"47745",,"Prince Albert","0",45718,18431,17061,44160,44160,18107,16596,"2537.6759","0","0","0","47","745","D",
"47750",,"Estevan","0",12798,6250,5342,13615,13615,6266,5512,"793.3552","0","0","0","47","750","D",
"47755",,"Weyburn","0",12247,5613,5089,10870,12055,5596,5010,"828.2775","1","0","0","47","755","D",
"47840","2021S050647840","Lloydminster (Saskatchewan part / partie de la Saskatchewan)","1",16769,7015,6251,14938,17091,6998,6296,"1960.2635","1","0","0","47","840","D","48"
"48805",,"Medicine Hat","0",76376,34157,32060,76522,76522,33424,31500,"13106.111","0","0","0","48","805","K",
"48806",,"Brooks","0",14924,5489,5140,24662,14451,5412,5046,"18.2051","1","0","0","48","806","D",
"48810",,"Lethbridge","0",123847,51735,48647,117394,117394,48317,45696,"2958.9554","0","0","0","48","810","B",
"48820",,"Okotoks","0",30405,10750,10476,28881,29016,9893,9716,"38.549","1","0","0","48","820","D",
"48821",,"High River","0",14324,5950,5787,13584,13594,5659,5371,"22.1948","1","0","0","48","821","D",
"48825",,"Calgary","0",1481806,594513,563440,1392609,1392609,544870,519693,"5098.6807","0","0","1","48","825","B",
"48826",,"Strathmore","0",14339,5754,5517,13756,13756,5358,5148,"26.9758","0","0","0","48","826","D",
"48828",,"Canmore","0",15990,9173,6804,13992,13992,7963,5738,"68.4694","0","0","0","48","828","D",
"48830",,"Red Deer","0",100844,43404,40512,100418,100418,42285,39982,"104.3433","0","0","0","48","830","B",
"48831",,"Sylvan Lake","0",16514,7486,6618,15302,15302,6914,5814,"24.2547","0","0","0","48","831","D",
"48832",,"Lacombe","0",13396,5552,5194,13057,13057,5034,4797,"20.5856","0","0","0","48","832","D",
"48833",,"Camrose","0",18772,8747,8136,18742,18742,8520,8055,"41.6685","0","0","0","48","833","D",
"48835",,"Edmonton","0",1418118,589554,548624,1321426,1321441,537641,502148,"9416.1887","1","0","0","48","835","B",
"48840","2021S050648840","Lloydminster (Alberta part / partie de l'Alberta)","1",19739,8530,7636,19645,19645,8444,7444,"23.981","0","0","0","48","840","D","47"
"48850",,"Grande Prairie","0",64141,27551,24816,63166,63166,26204,23676,"132.7063","0","0","0","48","850","K",
"48860",,"Wood Buffalo","0",73837,31100,26479,73320,73325,31399,26229,"60957.2057","1","0","1","48","860","K",
"48865",,"Wetaskiwin","0",12594,5643,5186,12655,12655,5563,5121,"18.7535","0","0","0","48","865","D",
"59905",,"Cranbrook","0",27040,11976,11379,26083,26068,11631,10976,"4563.8689","1","0","0","59","905","D",
"59907",,"Nelson","0",19119,9426,8507,18307,18307,9163,8265,"1224.3003","0","0","0","59","907","D",
"59910",,"Trail","0",14268,6838,6513,,14196,6880,6482,"279.1345","1","0","0","59","910","D",
"59913",,"Penticton","0",47380,24027,21920,43432,43534,22110,19930,"1734.7213","1","0","0","59","913","D",
"59915",,"Kelowna","0",222162,102097,94335,194882,194892,88379,81386,"2902.4539","1","0","0","59","915","B",
"59918",,"Vernon","0",67086,31677,28723,61334,61324,29306,26177,"1041.0866","1","0","0","59","918","D",
"59920",,"Salmon Arm","0",19705,8637,8215,17904,17904,7937,7534,"165.423","0","0","0","59","920","D",
"59925",,"Kamloops","0",114142,50235,47102,103811,103811,46895,42857,"5654.0827","0","0","0","59","925","B",
"59930",,"Chilliwack","0",113767,46708,44365,101512,101512,42395,39696,"1444.0238","0","0","0","59","930","B",
"59932",,"Abbotsford - Mission","0",195726,70648,67613,180518,180518,65967,62631,"606.7175","0","0","0","59","932","B",
"59933",,"Vancouver","0",2642825,1104532,1043319,2463431,2463431,1027613,960894,"2878.9307","0","0","1","59","933","B",
"59934",,"Squamish","0",24232,10033,9308,19893,19893,7702,7377,"105.4301","0","0","0","59","934","D",
"59935",,"Victoria","0",397237,186674,176676,367770,367770,172559,162716,"695.292","0","1","0","59","935","B",
"59936",,"Ladysmith","0",15501,7136,6502,,14572,6672,6151,"412.0119","1","0","0","59","936","D",
"59937",,"Duncan","0",47582,20901,20012,44451,44451,19732,18744,"373.2193","0","0","0","59","937","D",
"59938",,"Nanaimo","0",115459,51568,49348,104936,104936,46928,44963,"1279.276","0","0","0","59","938","B",
"59939",,"Parksville","0",31054,15647,14766,28922,28922,14642,13751,"81.8096","0","0","0","59","939","D",
"59940",,"Port Alberni","0",25786,12682,11714,25112,24669,12087,11162,"1633.1279","1","0","0","59","940","D",
"59943",,"Courtenay","0",63282,29985,28204,54157,57950,27771,26020,"624.3332","1","0","0","59","943","D",
"59944",,"Campbell River","0",40704,18433,17640,37861,37861,17200,16389,"1734.0503","0","0","0","59","944","D",
"59945",,"Powell River","0",17825,8884,8191,16783,16783,8332,7736,"799.7984","0","0","0","59","945","D",
"59950",,"Williams Lake","0",23608,11177,10044,18277,23113,10881,9680,"12422.1404","1","0","0","59","950","D",
"59952",,"Quesnel","0",23113,10943,10156,23146,23146,10768,10038,"21708.6198","0","0","1","59","952","D",
"59955",,"Prince Rupert","0",13442,6316,5498,12687,13462,6280,5376,"3303.6339","1","0","1","59","955","D",
"59965",,"Terrace","0",19606,8661,8000,15723,19160,8354,7679,"9721.8369","1","0","0","59","965","D",
"59970",,"Prince George","0",89490,39207,36799,86622,86622,37394,35095,"17650.9918","0","0","0","59","970","K",
"59975",,"Dawson Creek","0",17878,8578,7542,12178,18890,8838,7614,"11716.7959","1","0","0","59","975","D",
"59977",,"Fort St. John","0",28729,13054,11592,28396,28396,12737,10965,"617.7325","0","0","0","59","977","D",
"60990",,"Whitehorse","0",31913,14121,13186,28225,28225,12516,11625,"8465.2077","0","0","0","60","990","D",
"61995",,"Yellowknife","0",20340,7975,7519,19569,19569,7758,7131,"103.3722","0","0","0","61","995","D",
