"CTuid","CTdguid","CTname","CTpop_2021","CTtdwell_2021","CTurdwell_2021","CTpop_2016","CTpop_2016a","CTtdwell_2016a","CTurdwell_2016a","CTarea","CTadj","CTir_2016","CTir_2021","PRuid","CMAcode","CTcode"
"2050123.09","2021S05072050123.09","0123.09",3380,1253,1231,,3039,1182,1122,"1.4908","1","0","0","12","205","6458"
"2050130.03","2021S05072050130.03","0130.03",5535,1937,1897,5372,5372,1869,1810,"20.8806","0","0","0","12","205","4625"
"2050130.04","2021S05072050130.04","0130.04",3934,1500,1456,3824,3824,1431,1393,"21.4511","0","0","0","12","205","4626"
"2050130.07","2021S05072050130.07","0130.07",2931,1202,1176,,2896,1156,1121,"8.4389","1","0","0","12","205","6451"
"2050130.08","2021S05072050130.08","0130.08",2774,962,940,,2533,896,871,"10.3159","1","0","0","12","205","6452"
"2050130.09","2021S05072050130.09","0130.09",3197,1185,1160,,3058,1154,1116,"106.726","1","0","0","12","205","6453"
"2050131.01","2021S05072050131.01","0131.01",4964,1976,1952,4945,4945,1916,1892,"2.5068","0","0","0","12","205","3062"
"2050131.02","2021S05072050131.02","0131.02",4074,1830,1784,4069,4069,1808,1756,"2.2991","0","0","0","12","205","3063"
"2050131.03","2021S05072050131.03","0131.03",6287,2689,2622,6101,6101,2626,2497,"5.9336","0","0","0","12","205","3064"
"2050131.04","2021S05072050131.04","0131.04",3441,1551,1512,3313,3313,1408,1369,"4.6442","0","0","0","12","205","4340"
"2050131.05","2021S05072050131.05","0131.05",3434,1360,1327,3509,3509,1362,1344,"4.6864","0","0","0","12","205","4339"
"2050132.03","2021S05072050132.03","0132.03",6660,2575,2545,6146,6146,2331,2294,"4.2409","0","0","0","12","205","6039"
"2050132.04","2021S05072050132.04","0132.04",6209,2259,2231,5930,5930,2128,2093,"31.9252","0","0","0","12","205","6040"
"2050132.06","2021S05072050132.06","0132.06",13013,5164,4734,7185,7185,2464,2374,"50.4067","0","0","0","12","205","0663"
"2050132.07","2021S05072050132.07","0132.07",6252,2215,2173,5114,5114,1751,1715,"65.8812","0","0","0","12","205","1448"
"2050132.09","2021S05072050132.09","0132.09",15,3,3,10,10,3,3,"0.4389","0","0","0","12","205","4534"
"2050132.10","2021S05072050132.10","0132.10",5866,2106,2056,5481,5481,1877,1838,"67.5148","0","0","0","12","205","4539"
"2050140.00","2021S05072050140.00","0140.00",6762,2892,2748,6430,6430,2744,2568,"170.2464","0","0","0","12","205","2833"
"2050141.00","2021S05072050141.00","0141.00",7031,3140,2878,6769,6769,3033,2702,"207.3305","0","0","0","12","205","2834"
"2050142.01","2021S05072050142.01","0142.01",5627,2162,2104,5497,5497,1989,1962,"6.7109","0","0","0","12","205","0664"
"2050142.02","2021S05072050142.02","0142.02",4510,1784,1747,4055,4055,1671,1597,"50.4737","0","0","0","12","205","0667"
"2050143.01","2021S05072050143.01","0143.01",5781,2471,2192,5442,5442,2397,2044,"279.7665","0","0","0","12","205","6041"
"2050143.02","2021S05072050143.02","0143.02",7152,2921,2772,6568,6568,2747,2530,"110.1282","0","0","0","12","205","6042"
"2050150.01","2021S05072050150.01","0150.01",6586,2739,2636,6508,6508,2670,2552,"99.2759","0","0","0","12","205","4343"
"2050150.02","2021S05072050150.02","0150.02",6321,2524,2443,6152,6152,2429,2341,"71.7366","0","0","0","12","205","4344"
"2050151.00","2021S05072050151.00","0151.00",6125,2778,2584,5693,5693,2611,2380,"176.5188","0","0","0","12","205","3013"
"2050152.00","2021S05072050152.00","0152.00",4383,1851,1765,4284,4284,1816,1702,"618.3698","0","0","0","12","205","3014"
"2050153.00","2021S05072050153.00","0153.00",6149,3177,2751,5945,5945,3424,2604,"1205.6717","0","0","0","12","205","6192"
"2050154.01","2021S05072050154.01","0154.01",20,6,6,21,21,5,5,"0.8333","0","0","0","12","205","3912"
"2050154.03","2021S05072050154.03","0154.03",10,7,5,25,25,9,7,"0.5007","0","0","0","12","205","3914"
"2050154.04","2021S05072050154.04","0154.04",3334,2114,1621,3221,3221,2363,1509,"1733.5996","0","0","0","12","205","3916"
"2050155.00","2021S05072050155.00","0155.00",0,0,0,0,0,0,0,"30.5514","0","0","0","12","205","6195"
"2050200.00","2021S05072050200.00","0200.00",4157,2064,1814,,4272,2149,1806,"914.9088","1","0","0","12","205","7037"
"2050201.00","2021S05072050201.00","0201.00",13787,5705,5510,,13471,5544,5310,"454.9167","1","0","0","12","205","7038"
"2050202.00","2021S05072050202.00","0202.00",4948,2277,2063,,4710,2237,1941,"416.7063","1","0","0","12","205","7039"
"2050300.00","2021S05072050300.00","0300.00",2739,1124,1101,,1089,382,370,"12.1483","1","0","0","12","205","7040"
"3050001.00","2021S05073050001.00","0001.00",1297,906,843,1213,1213,901,783,"2.4407","0","0","0","13","305","2835"
"3050002.00","2021S05073050002.00","0002.00",4761,2360,2264,4493,4493,2341,2198,"3.3564","0","0","0","13","305","2836"
"3050003.01","2021S05073050003.01","0003.01",2391,1031,998,2535,2535,1057,996,"25.6871","0","0","0","13","305","4418"
"3050003.04","2021S05073050003.04","0003.04",5327,2268,2171,5248,5248,2134,2051,"7.1978","0","0","0","13","305","0952"
"3050003.05","2021S05073050003.05","0003.05",2608,916,899,,1716,623,601,"6.2732","1","0","0","13","305","6348"
"3050003.06","2021S05073050003.06","0003.06",8960,3319,3229,,8386,3131,3019,"4.1236","1","0","0","13","305","6349"
"3050004.01","2021S05073050004.01","0004.01",4021,1683,1628,,3224,1407,1332,"3.1111","1","0","0","13","305","6346"
"3050004.02","2021S05073050004.02","0004.02",4987,2229,2123,,4551,2213,1988,"1.6416","1","0","0","13","305","6347"
"3050005.00","2021S05073050005.00","0005.00",2937,1463,1349,2746,2746,1478,1280,"3.5083","0","0","0","13","305","2839"
"3050006.00","2021S05073050006.00","0006.00",4785,2840,2540,4201,4201,2850,2318,"1.5895","0","0","0","13","305","2840"
"3050007.00","2021S05073050007.00","0007.00",3172,1735,1611,2938,2938,1751,1503,"1.0396","0","0","0","13","305","2841"
"3050008.00","2021S05073050008.00","0008.00",4794,2490,2340,4600,4600,2487,2265,"2.3052","0","0","0","13","305","2842"
"3050009.00","2021S05073050009.00","0009.00",4851,2461,2215,4404,4404,2379,2101,"1.6365","0","0","0","13","305","2843"
"3050010.01","2021S05073050010.01","0010.01",2371,1276,1112,1936,1936,1172,930,"1.9078","0","0","0","13","305","4420"
"3050010.03","2021S05073050010.03","0010.03",6666,3263,3074,,6280,3224,2915,"4.7425","1","0","0","13","305","6350"
"3050010.04","2021S05073050010.04","0010.04",2164,1115,949,,1243,737,601,"2.8672","1","0","0","13","305","6351"
"3050011.00","2021S05073050011.00","0011.00",4423,2011,1973,4080,4080,1908,1841,"54.7184","0","0","0","13","305","2845"
"3050012.01","2021S05073050012.01","0012.01",4754,2317,2206,,4480,2178,2035,"3.6942","1","0","0","13","305","6344"
"3050012.02","2021S05073050012.02","0012.02",4201,1635,1594,,3615,1409,1378,"8.8331","1","0","0","13","305","6345"
"3050013.00","2021S05073050013.00","0013.00",6810,3582,3374,5952,5952,3207,2915,"5.0853","0","0","0","13","305","2847"
"3050014.02","2021S05073050014.02","0014.02",6965,2741,2671,6312,6312,2494,2401,"16.602","0","0","0","13","305","6006"
"3050014.03","2021S05073050014.03","0014.03",5014,1987,1920,4573,4573,1849,1776,"43.1169","0","0","0","13","305","4654"
"3050014.05","2021S05073050014.05","0014.05",5118,2114,2053,,4319,1745,1686,"9.5529","1","0","0","13","305","6930"
"3050014.06","2021S05073050014.06","0014.06",3368,1265,1251,,3388,1232,1217,"2.2129","1","0","0","13","305","6931"
"3050014.07","2021S05073050014.07","0014.07",839,304,301,,840,302,293,"0.4472","1","0","0","13","305","6932"
"3050015.01","2021S05073050015.01","0015.01",36,22,21,40,40,22,21,"0.5518","0","0","0","13","305","3918"
"3050015.02","2021S05073050015.02","0015.02",6373,2575,2484,6303,6303,2569,2366,"282.4806","0","0","0","13","305","3922"
"3050016.01","2021S05073050016.01","0016.01",7286,2970,2896,6661,6661,2794,2675,"325.0489","0","0","0","13","305","4740"
