facility_name,facility_name_norm,city,sactype_value,CSDuid,CSDname
Sault Area Hospital,SAULT AREA HOSPITAL,sault ste marie,2,3557061,Sault Ste. Marie
Scarborough Health Network - Centenary Hospital,SCARBOROUGH HEALTH NETWORK CENTENARY HOSPITAL,toronto,1,3520005,Toronto
Sensenbrenner Hospital,SENSENBRENNER HOSPITAL,kapuskasing,6,3556066,Kapuskasing
Shouldice Hospital Ltd.,SHOULDICE HOSPITAL LTD,thornhill,1,3519036,Markham
Sioux Lookout Meno Ya Win Health Centre,SIOUX LOOKOUT MENO YA WIN HEALTH CENTRE,sioux lookout,6,3560034,Sioux Lookout
Sioux Lookout Meno-Ya-Win Health Centre - Seventh Avenue Site,SIOUX LOOKOUT MENO YA WIN HEALTH CENTRE SEVENTH AVENUE SITE,sioux lookout,6,3560034,Sioux Lookout
Smooth Rock Falls Hospital,SMOOTH ROCK FALLS HOSPITAL,smooth rock falls,5,3556048,Smooth Rock Falls
South Bruce Grey Health Centre - Chesley,SOUTH BRUCE GREY HEALTH CENTRE CHESLEY,chesley,5,3541043,Arran-Elderslie
South Bruce Grey Health Centre - Durham,SOUTH BRUCE GREY HEALTH CENTRE DURHAM,durham,5,3542004,West Grey
South Bruce Grey Health Centre - Kincardine,SOUTH BRUCE GREY HEALTH CENTRE KINCARDINE,kincardine,6,3541024,Kincardine
South Bruce Grey Health Centre - Walkerton,SOUTH BRUCE GREY HEALTH CENTRE WALKERTON,walkerton,6,3541032,Brockton
South Huron Hospital,SOUTH HURON HOSPITAL,exeter,5,3540005,South Huron
South Muskoka Memorial Hospital,SOUTH MUSKOKA MEMORIAL HOSPITAL,bracebridge,5,3544018,Bracebridge
Southlake Regional Health Centre,SOUTHLAKE REGIONAL HEALTH CENTRE,newmarket,1,3519048,Newmarket
St. Francis Memorial Hospital,ST FRANCIS MEMORIAL HOSPITAL,barrys bay,6,3547030,Madawaska Valley
St. John's Rehabilitation Hospital,ST JOHN S REHABILITATION HOSPITAL,toronto,1,3520005,Toronto
St. Joseph's Care Group - Lakehead Psychiatric Hospital,ST JOSEPH S CARE GROUP LAKEHEAD PSYCHIATRIC HOSPITAL,thunder bay,1,3558004,Thunder Bay
St. Joseph's General Hospital - Elliot Lake,ST JOSEPH S GENERAL HOSPITAL ELLIOT LAKE,elliot lake,3,3557041,Elliot Lake
St. Joseph's Health Care London - Parkwood,ST JOSEPH S HEALTH CARE LONDON PARKWOOD,london,1,3539036,London
St. Joseph's Health Centre - Toronto,ST JOSEPH S HEALTH CENTRE TORONTO,toronto,1,3520005,Toronto
St. Joseph's Healthcare - Charlton Campus,ST JOSEPH S HEALTHCARE CHARLTON CAMPUS,hamilton,1,3525005,Hamilton
St. Joseph's Healthcare - West 5th Campus,ST JOSEPH S HEALTHCARE WEST 5TH CAMPUS,hamilton,1,3525005,Hamilton
St. Joseph's Healthcare Hamilton,ST JOSEPH S HEALTHCARE HAMILTON,hamilton,1,3525005,Hamilton
St. Joseph's Healthcare Hamilton - King Campus,ST JOSEPH S HEALTHCARE HAMILTON KING CAMPUS,hamilton,1,3525005,Hamilton
St. Joseph's Hospital - London,ST JOSEPH S HOSPITAL LONDON,london,1,3539036,London
St. Joseph’s Health Centre of Sudbury,ST JOSEPH S HEALTH CENTRE OF SUDBURY,sudbury,1,3553005,Greater Sudbury / Grand Sudbury
St. Mary's General Hospital,ST MARY S GENERAL HOSPITAL,kitchener,1,3530013,Kitchener
St. Michael's Hospital - Bond St. Site,ST MICHAEL S HOSPITAL BOND ST SITE,toronto,1,3520005,Toronto
St. Thomas - Elgin General Hospital,ST THOMAS ELGIN GENERAL HOSPITAL,st thomas,1,3534021,St. Thomas
Stevenson Memorial Hospital,STEVENSON MEMORIAL HOSPITAL,alliston,1,3543007,New Tecumseth
Stratford General Hospital,STRATFORD GENERAL HOSPITAL,stratford,3,3531011,Stratford
